Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
15:53:05.246,0xFF00,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.256,0xFF00,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.266,0xFF00,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.276,0xFF00,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.286,0xFF00,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.296,0xFF02,6,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.316,0xFF00,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.326,0xFF00,8,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.336,0xFF00,9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.346,0xFF00,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.355,0xFF00,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.366,0xFF00,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.376,0xFF00,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.386,0xFF00,14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.396,0xFF00,15,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.406,0xFF00,16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.416,0xFF00,17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.425,0xFF00,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.435,0xFF00,19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.446,0xFF00,20,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.456,0xFF00,21,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.466,0xFF00,22,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.476,0xFF00,23,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.486,0xFF00,24,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.495,0xFF02,25,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.505,0xFF02,26,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.515,0xFF00,27,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.525,0xFF00,28,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.535,0xFF00,29,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.546,0xFF00,30,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.555,0xFF00,31,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.565,0xFF00,32,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.575,0xFF00,33,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.585,0xFF00,34,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.595,0xFF00,35,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.605,0xFF00,36,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.616,0xFF00,37,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.625,0xFF00,38,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.635,0xFF00,39,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.645,0xFF00,40,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.655,0xFF00,41,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.665,0xFF00,42,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.675,0xFF00,43,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.685,0xFF00,44,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.695,0xFF02,45,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.705,0xFF02,46,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.715,0xFF00,47,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.725,0xFF00,48,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.735,0xFF00,49,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.745,0xFF00,50,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.755,0xFF00,51,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.765,0xFF00,52,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.775,0xFF00,53,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.785,0xFF00,54,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.795,0xFF00,55,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.805,0xFF00,56,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.815,0xFF00,57,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.825,0xFF00,58,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.835,0xFF00,59,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.845,0xFF00,60,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.855,0xFF00,61,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.865,0xFF00,62,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.875,0xFF00,63,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.885,0xFF00,64,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.895,0xFF02,65,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.905,0xFF02,66,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:53:05.915,0xFF00,67,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
