Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
15:48:04.417,0xFF00,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.427,0xFF00,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.437,0xFF00,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.447,0xFF00,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.458,0xFF00,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.468,0xFF00,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.477,0xFF00,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.487,0xFF00,8,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.497,0xFF00,9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.507,0xFF00,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.517,0xFF00,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.527,0xFF00,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.538,0xFF00,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.547,0xFF00,14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.557,0xFF00,15,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.567,0xFF00,16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.577,0xFF00,17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.587,0xFF00,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.597,0xFF02,19,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:48:04.607,0xFF02,20,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
