Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
15:45:21.057,0xFF00,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.066,0xFF00,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.077,0xFF00,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.087,0xFF00,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.096,0xFF00,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.106,0xFF00,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.117,0xFF00,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.127,0xFF00,8,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.137,0xFF00,9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.146,0xFF00,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.156,0xFF00,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.166,0xFF00,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.176,0xFF00,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.186,0xFF00,14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.196,0xFF00,15,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.206,0xFF00,16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.216,0xFF00,17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.226,0xFF00,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.236,0xFF00,19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:45:21.246,0xFF02,20,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
