Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
15:38:29.809,0xFF00,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.819,0xFF00,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.829,0xFF00,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.839,0xFF00,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.849,0xFF00,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.859,0xFF00,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.869,0xFF00,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.879,0xFF00,8,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.889,0xFF00,9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.899,0xFF00,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.909,0xFF00,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.919,0xFF00,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.929,0xFF00,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.939,0xFF00,14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.949,0xFF00,15,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.959,0xFF00,16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.969,0xFF00,17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.979,0xFF00,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.989,0xFF00,19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:29.999,0xFF02,20,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.009,0xFF02,21,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.019,0xFF02,22,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.029,0xFF02,23,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.039,0xFF00,24,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.049,0xFF00,25,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.059,0xFF00,26,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.069,0xFF00,27,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.079,0xFF00,28,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.089,0xFF00,29,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.099,0xFF00,30,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.109,0xFF00,31,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.119,0xFF00,32,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.129,0xFF00,33,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.139,0xFF00,34,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.149,0xFF00,35,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.159,0xFF00,36,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.169,0xFF00,37,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.179,0xFF00,38,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.189,0xFF00,39,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.199,0xFF00,40,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.209,0xFF00,41,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.219,0xFF00,42,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.228,0xFF00,43,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.239,0xFF00,44,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.249,0xFF00,45,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.259,0xFF00,46,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.269,0xFF00,47,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.279,0xFF00,48,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.288,0xFF00,49,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.299,0xFF02,50,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.309,0xFF02,51,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.318,0xFF02,52,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.328,0xFF02,53,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.339,0xFF00,54,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.348,0xFF00,55,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.358,0xFF00,56,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.369,0xFF00,57,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.379,0xFF00,58,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.388,0xFF00,59,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.398,0xFF00,60,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.408,0xFF00,61,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.418,0xFF00,62,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.428,0xFF00,63,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.438,0xFF00,64,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.448,0xFF00,65,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.458,0xFF00,66,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.468,0xFF00,67,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.478,0xFF00,68,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.488,0xFF00,69,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.498,0xFF00,70,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.508,0xFF00,71,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.518,0xFF00,72,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.528,0xFF00,73,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.538,0xFF00,74,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.548,0xFF00,75,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.558,0xFF00,76,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.568,0xFF00,77,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.578,0xFF00,78,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.588,0xFF00,79,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.598,0xFF02,80,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.608,0xFF02,81,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.618,0xFF02,82,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.628,0xFF02,83,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.638,0xFF00,84,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.648,0xFF00,85,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.668,0xFF00,86,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.678,0xFF00,87,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.688,0xFF00,88,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.698,0xFF00,89,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.708,0xFF00,90,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.718,0xFF00,91,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.728,0xFF00,92,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.738,0xFF00,93,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.748,0xFF00,94,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.758,0xFF00,95,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.768,0xFF00,96,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.778,0xFF00,97,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.788,0xFF00,98,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.798,0xFF00,99,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.808,0xFF00,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.818,0xFF00,101,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.828,0xFF00,102,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.838,0xFF00,103,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.848,0xFF00,104,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.857,0xFF00,105,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.868,0xFF00,106,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.877,0xFF00,107,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.887,0xFF00,108,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.898,0xFF02,109,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.907,0xFF02,110,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.917,0xFF02,111,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.928,0xFF02,112,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.938,0xFF00,113,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.948,0xFF00,114,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.958,0xFF00,115,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.968,0xFF00,116,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.977,0xFF00,117,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.987,0xFF00,118,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:30.997,0xFF00,119,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.007,0xFF00,120,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.017,0xFF00,121,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.027,0xFF00,122,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.037,0xFF00,123,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.047,0xFF00,124,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.057,0xFF00,125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.067,0xFF00,126,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.077,0xFF00,127,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.087,0xFF00,128,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.097,0xFF00,129,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.107,0xFF00,130,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.117,0xFF00,131,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.127,0xFF00,132,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.137,0xFF00,133,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.147,0xFF00,134,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.157,0xFF00,135,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:38:31.167,0xFF00,136,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
