Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
18:20:04.888,0xFF01,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:04.898,0xFF01,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:04.908,0xFF01,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:04.918,0xFF01,4,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:04.928,0xFF01,5,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:04.938,0xFF01,6,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:04.948,0xFF01,7,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:04.958,0xFF01,8,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:04.978,0xFF01,9,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:04.988,0xFF01,10,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:04.998,0xFF01,11,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.008,0xFF01,12,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.018,0xFF01,13,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.028,0xFF01,14,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.038,0xFF01,15,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.049,0xFF01,16,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.058,0xFF01,17,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.068,0xFF01,18,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.078,0xFF01,19,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.088,0xFF01,20,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.098,0xFF01,21,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.108,0xFF01,22,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.118,0xFF01,23,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.128,0xFF01,24,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.138,0xFF01,25,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.148,0xFF01,26,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.158,0xFF01,27,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.168,0xFF01,28,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.178,0xFF01,29,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
18:20:05.188,0xFF01,30,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
