Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
15:05:16.958,0xFF00,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:16.968,0xFF00,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:16.978,0xFF00,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:16.988,0xFF00,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:16.998,0xFF00,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.008,0xFF00,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.018,0xFF00,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.028,0xFF00,8,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.038,0xFF00,9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.048,0xFF00,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.058,0xFF00,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.068,0xFF00,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.078,0xFF00,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.088,0xFF00,14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.098,0xFF00,15,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.108,0xFF00,16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.118,0xFF00,17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.128,0xFF00,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.138,0xFF02,19,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.148,0xFF02,20,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.158,0xFF02,21,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.168,0xFF02,22,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.178,0xFF00,23,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.188,0xFF00,24,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.198,0xFF00,25,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.207,0xFF00,26,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.217,0xFF00,27,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.227,0xFF00,28,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.238,0xFF00,29,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.247,0xFF00,30,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.257,0xFF00,31,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.267,0xFF00,32,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.277,0xFF00,33,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.287,0xFF00,34,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.297,0xFF00,35,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.308,0xFF00,36,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.318,0xFF00,37,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.327,0xFF00,38,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
15:05:17.337,0xFF00,39,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
