Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
12:39:18.628,0xFF00,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.638,0xFF00,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.648,0xFF00,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.658,0xFF00,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.668,0xFF00,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.678,0xFF00,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.688,0xFF00,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.698,0xFF02,8,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.708,0xFF02,9,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.718,0xFF00,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.728,0xFF00,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.738,0xFF00,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.748,0xFF00,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.758,0xFF00,14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.768,0xFF00,15,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.778,0xFF00,16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.788,0xFF00,17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.798,0xFF00,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.808,0xFF00,19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.818,0xFF00,20,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.828,0xFF00,21,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.838,0xFF00,22,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.848,0xFF00,23,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.858,0xFF00,24,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.868,0xFF00,25,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.878,0xFF00,26,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.888,0xFF00,27,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.898,0xFF00,28,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:39:18.908,0xFF00,29,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
