Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
12:55:06.601,0xFF00,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.610,0xFF00,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.621,0xFF00,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.630,0xFF00,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.640,0xFF00,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.651,0xFF00,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.660,0xFF02,7,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.670,0xFF02,8,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.680,0xFF02,9,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.690,0xFF02,10,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.700,0xFF02,11,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.710,0xFF00,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.720,0xFF00,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.730,0xFF00,14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.741,0xFF00,15,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.750,0xFF00,16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.760,0xFF00,17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.780,0xFF00,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:55:06.790,0xFF00,19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
