Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
12:48:15.080,0xFF00,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.090,0xFF00,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.099,0xFF00,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.110,0xFF00,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.119,0xFF00,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.129,0xFF00,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.139,0xFF00,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.149,0xFF00,8,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.159,0xFF00,9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.169,0xFF00,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.179,0xFF00,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.189,0xFF00,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.199,0xFF00,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.209,0xFF00,14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.219,0xFF00,15,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.229,0xFF00,16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.239,0xFF02,17,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.249,0xFF02,18,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.259,0xFF02,19,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.269,0xFF02,20,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.279,0xFF02,21,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.289,0xFF00,22,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.299,0xFF00,23,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.309,0xFF00,24,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.319,0xFF00,25,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.329,0xFF00,26,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.339,0xFF00,27,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.349,0xFF00,28,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.359,0xFF00,29,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.369,0xFF00,30,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.379,0xFF00,31,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.389,0xFF00,32,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.399,0xFF00,33,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.409,0xFF00,34,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.419,0xFF00,35,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.429,0xFF00,36,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.449,0xFF00,37,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.459,0xFF00,38,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.469,0xFF00,39,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.479,0xFF00,40,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.489,0xFF00,41,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.499,0xFF00,42,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.509,0xFF00,43,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.519,0xFF00,44,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.529,0xFF00,45,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.539,0xFF02,46,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.549,0xFF02,47,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.559,0xFF02,48,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.569,0xFF02,49,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.579,0xFF02,50,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.589,0xFF00,51,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:48:15.599,0xFF00,52,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
