Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
12:14:57.010,0xFF03,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.020,0xFF03,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.031,0xFF03,3,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.041,0xFF02,4,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.051,0xFF02,5,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.060,0xFF02,6,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.071,0xFF02,7,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.081,0xFF03,8,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.090,0xFF03,9,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.101,0xFF03,10,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.111,0xFF03,11,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.120,0xFF02,12,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.131,0xFF02,13,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.141,0xFF02,14,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.150,0xFF03,15,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.161,0xFF03,16,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.171,0xFF03,17,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.180,0xFF03,18,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.191,0xFF02,19,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.201,0xFF02,20,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.211,0xFF02,21,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:14:57.220,0xFF02,22,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
