Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
14:41:51.147,0xFF00,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.157,0xFF00,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.167,0xFF00,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.177,0xFF00,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.187,0xFF00,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.197,0xFF00,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.207,0xFF00,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.217,0xFF00,8,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.227,0xFF00,9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.237,0xFF00,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.247,0xFF01,11,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.257,0xFF03,12,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.267,0xFF01,13,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.277,0xFF01,14,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.287,0xFF01,15,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.297,0xFF02,16,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.307,0xFF00,17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.316,0xFF00,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.326,0xFF00,19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.336,0xFF00,20,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.346,0xFF00,21,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.356,0xFF00,22,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.366,0xFF00,23,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.376,0xFF00,24,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.387,0xFF00,25,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.397,0xFF00,26,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.407,0xFF00,27,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.416,0xFF00,28,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.426,0xFF00,29,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.437,0xFF00,30,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.447,0xFF00,31,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.456,0xFF00,32,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.466,0xFF00,33,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.476,0xFF00,34,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.486,0xFF00,35,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.496,0xFF00,36,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.506,0xFF00,37,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.516,0xFF00,38,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.526,0xFF00,39,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.536,0xFF00,40,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.546,0xFF01,41,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.556,0xFF03,42,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.566,0xFF01,43,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.576,0xFF01,44,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.586,0xFF01,45,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.596,0xFF02,46,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.606,0xFF00,47,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.616,0xFF00,48,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.626,0xFF00,49,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.636,0xFF00,50,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.646,0xFF00,51,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.656,0xFF00,52,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.666,0xFF00,53,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.676,0xFF00,54,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.686,0xFF00,55,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.696,0xFF00,56,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14:41:51.706,0xFF00,57,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
