Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
12:20:24.274,0xFF02,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.284,0xFF03,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.294,0xFF03,3,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.304,0xFF03,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.314,0xFF03,5,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.333,0xFF02,6,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.344,0xFF02,7,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.353,0xFF02,8,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.363,0xFF02,9,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.374,0xFF02,10,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.383,0xFF02,11,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.394,0xFF02,12,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.403,0xFF02,13,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.414,0xFF02,14,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.423,0xFF02,15,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.434,0xFF02,16,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.443,0xFF02,17,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.453,0xFF02,18,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.463,0xFF02,19,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.473,0xFF02,20,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.483,0xFF02,21,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.493,0xFF02,22,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.503,0xFF02,23,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.514,0xFF02,24,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.523,0xFF02,25,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.533,0xFF02,26,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.544,0xFF02,27,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.553,0xFF02,28,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.563,0xFF02,29,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.573,0xFF02,30,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.583,0xFF02,31,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.593,0xFF02,32,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.603,0xFF02,33,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.613,0xFF02,34,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.623,0xFF02,35,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.633,0xFF02,36,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.643,0xFF02,37,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.653,0xFF02,38,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.663,0xFF02,39,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.673,0xFF02,40,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.683,0xFF02,41,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.693,0xFF02,42,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.703,0xFF02,43,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.713,0xFF02,44,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.723,0xFF02,45,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.733,0xFF02,46,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.743,0xFF02,47,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.753,0xFF02,48,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.763,0xFF02,49,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.773,0xFF02,50,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.783,0xFF02,51,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.793,0xFF02,52,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.803,0xFF02,53,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.813,0xFF02,54,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.823,0xFF02,55,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.833,0xFF02,56,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.843,0xFF02,57,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.853,0xFF02,58,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.863,0xFF02,59,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.873,0xFF02,60,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.883,0xFF02,61,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.893,0xFF02,62,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.903,0xFF02,63,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.913,0xFF02,64,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
12:20:24.923,0xFF02,65,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
