Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
16:07:35.262,0xFF00,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.271,0xFF00,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.281,0xFF00,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.292,0xFF00,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.302,0xFF00,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.312,0xFF00,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.321,0xFF00,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.331,0xFF00,8,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.342,0xFF00,9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.352,0xFF00,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.362,0xFF00,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.371,0xFF00,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.381,0xFF00,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.391,0xFF00,14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.401,0xFF00,15,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.411,0xFF00,16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.421,0xFF00,17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.431,0xFF00,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.441,0xFF01,19,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.451,0xFF01,20,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.461,0xFF03,21,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.471,0xFF03,22,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.481,0xFF03,23,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.491,0xFF00,24,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.501,0xFF00,25,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.511,0xFF00,26,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.521,0xFF00,27,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.531,0xFF00,28,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.541,0xFF00,29,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.551,0xFF00,30,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.561,0xFF00,31,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.571,0xFF00,32,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.581,0xFF00,33,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.591,0xFF00,34,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.601,0xFF00,35,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.611,0xFF00,36,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.621,0xFF00,37,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.631,0xFF00,38,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.641,0xFF00,39,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.651,0xFF00,40,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.661,0xFF00,41,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.671,0xFF00,42,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.681,0xFF00,43,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.691,0xFF00,44,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.701,0xFF00,45,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.711,0xFF00,46,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.721,0xFF00,47,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.731,0xFF00,48,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.741,0xFF01,49,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.751,0xFF01,50,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.761,0xFF03,51,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.771,0xFF03,52,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.781,0xFF03,53,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.791,0xFF00,54,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.801,0xFF00,55,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.811,0xFF00,56,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.821,0xFF00,57,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.831,0xFF00,58,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.841,0xFF00,59,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.851,0xFF00,60,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.861,0xFF00,61,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.871,0xFF00,62,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.881,0xFF00,63,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.891,0xFF00,64,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16:07:35.901,0xFF00,65,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
