Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
17:00:43.602,0xFF01,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.612,0xFF01,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.622,0xFF03,3,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.632,0xFF01,4,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.642,0xFF01,5,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.652,0xFF01,6,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.662,0xFF01,7,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.672,0xFF01,8,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.682,0xFF01,9,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.692,0xFF01,10,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.702,0xFF01,11,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.712,0xFF01,12,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.721,0xFF01,13,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.731,0xFF01,14,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.741,0xFF03,15,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.751,0xFF01,16,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.761,0xFF01,17,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.771,0xFF01,18,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.781,0xFF01,19,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.791,0xFF01,20,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.801,0xFF01,21,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.811,0xFF01,22,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.821,0xFF01,23,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.831,0xFF01,24,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.841,0xFF01,25,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.851,0xFF01,26,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.861,0xFF03,27,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.871,0xFF01,28,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.881,0xFF01,29,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.891,0xFF01,30,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.901,0xFF01,31,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.911,0xFF01,32,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.921,0xFF01,33,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.931,0xFF01,34,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.941,0xFF01,35,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.951,0xFF01,36,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.961,0xFF01,37,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.971,0xFF01,38,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.981,0xFF03,39,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:43.991,0xFF01,40,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.001,0xFF01,41,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.011,0xFF01,42,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.021,0xFF01,43,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.031,0xFF01,44,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.041,0xFF01,45,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.051,0xFF01,46,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.061,0xFF01,47,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.071,0xFF01,48,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.081,0xFF01,49,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.091,0xFF01,50,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.101,0xFF03,51,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.111,0xFF01,52,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.121,0xFF01,53,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.131,0xFF01,54,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.141,0xFF01,55,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.151,0xFF01,56,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.161,0xFF01,57,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.171,0xFF01,58,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.181,0xFF01,59,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.191,0xFF01,60,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.201,0xFF01,61,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.211,0xFF01,62,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.221,0xFF03,63,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.231,0xFF01,64,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.241,0xFF01,65,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.251,0xFF01,66,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.261,0xFF01,67,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.271,0xFF01,68,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.281,0xFF01,69,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.291,0xFF01,70,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.301,0xFF01,71,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.310,0xFF01,72,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.320,0xFF01,73,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.330,0xFF01,74,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.340,0xFF03,75,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.350,0xFF01,76,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.360,0xFF01,77,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.370,0xFF01,78,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.380,0xFF01,79,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.390,0xFF01,80,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.400,0xFF01,81,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.411,0xFF01,82,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.420,0xFF01,83,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.430,0xFF01,84,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.440,0xFF01,85,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.450,0xFF01,86,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.460,0xFF03,87,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.480,0xFF01,88,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.490,0xFF01,89,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.500,0xFF01,90,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.510,0xFF01,91,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.520,0xFF01,92,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.530,0xFF01,93,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.540,0xFF01,94,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.550,0xFF01,95,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.560,0xFF01,96,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.570,0xFF01,97,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.580,0xFF03,98,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:00:44.590,0xFF01,99,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
