Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
17:02:35.835,0xFF01,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.845,0xFF01,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.855,0xFF01,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.865,0xFF03,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.875,0xFF01,5,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.885,0xFF01,6,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.895,0xFF01,7,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.905,0xFF01,8,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.915,0xFF01,9,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.925,0xFF01,10,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.935,0xFF01,11,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.945,0xFF01,12,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.955,0xFF01,13,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.965,0xFF01,14,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.975,0xFF01,15,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.985,0xFF03,16,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:35.995,0xFF01,17,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.005,0xFF01,18,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.015,0xFF01,19,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.025,0xFF01,20,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.035,0xFF01,21,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.045,0xFF01,22,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.055,0xFF01,23,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.065,0xFF03,24,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.075,0xFF01,25,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.085,0xFF01,26,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.095,0xFF01,27,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.105,0xFF03,28,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.115,0xFF01,29,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.125,0xFF01,30,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.135,0xFF01,31,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.145,0xFF01,32,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.155,0xFF01,33,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.165,0xFF01,34,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.175,0xFF01,35,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.185,0xFF03,36,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.195,0xFF01,37,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.205,0xFF01,38,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.215,0xFF01,39,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.225,0xFF03,40,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.235,0xFF01,41,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.245,0xFF01,42,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.255,0xFF01,43,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.265,0xFF01,44,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.285,0xFF01,45,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:02:36.295,0xFF01,46,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
