Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
17:03:28.473,0xFF01,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.483,0xFF01,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.493,0xFF01,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.503,0xFF01,4,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.513,0xFF01,5,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.523,0xFF01,6,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.533,0xFF01,7,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.543,0xFF03,8,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.553,0xFF03,9,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.563,0xFF01,10,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.573,0xFF01,11,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.583,0xFF01,12,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.593,0xFF01,13,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.603,0xFF01,14,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.613,0xFF01,15,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.623,0xFF01,16,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.633,0xFF01,17,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.643,0xFF01,18,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.653,0xFF01,19,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.663,0xFF03,20,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.673,0xFF03,21,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.683,0xFF01,22,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.692,0xFF01,23,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.702,0xFF01,24,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.712,0xFF01,25,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.722,0xFF01,26,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.732,0xFF01,27,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.742,0xFF01,28,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.752,0xFF03,29,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.762,0xFF01,30,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.772,0xFF01,31,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.782,0xFF03,32,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.792,0xFF03,33,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.802,0xFF01,34,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.812,0xFF01,35,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.822,0xFF01,36,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.832,0xFF01,37,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.842,0xFF01,38,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.852,0xFF01,39,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.862,0xFF01,40,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.872,0xFF03,41,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.882,0xFF01,42,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.892,0xFF01,43,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.902,0xFF01,44,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.912,0xFF03,45,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.922,0xFF01,46,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.932,0xFF01,47,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.942,0xFF01,48,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.952,0xFF01,49,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.962,0xFF01,50,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.972,0xFF01,51,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.982,0xFF01,52,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:28.992,0xFF01,53,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.002,0xFF01,54,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.012,0xFF01,55,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.022,0xFF03,56,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.032,0xFF03,57,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.042,0xFF01,58,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.052,0xFF01,59,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.062,0xFF01,60,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.072,0xFF01,61,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.082,0xFF01,62,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.092,0xFF01,63,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.102,0xFF01,64,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.112,0xFF03,65,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.122,0xFF01,66,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.132,0xFF01,67,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.142,0xFF03,68,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.152,0xFF03,69,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.162,0xFF01,70,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.172,0xFF01,71,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.192,0xFF01,72,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.202,0xFF01,73,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.212,0xFF01,74,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.222,0xFF01,75,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.232,0xFF01,76,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.242,0xFF01,77,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.252,0xFF01,78,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.262,0xFF01,79,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.272,0xFF03,80,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.282,0xFF01,81,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.292,0xFF01,82,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.302,0xFF01,83,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.311,0xFF01,84,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.321,0xFF01,85,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.331,0xFF01,86,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.341,0xFF01,87,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.351,0xFF03,88,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.361,0xFF01,89,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.371,0xFF01,90,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.381,0xFF01,91,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.391,0xFF03,92,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.401,0xFF01,93,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.411,0xFF01,94,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.421,0xFF01,95,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.431,0xFF01,96,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.441,0xFF01,97,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.451,0xFF01,98,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.461,0xFF01,99,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.471,0xFF01,100,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.481,0xFF01,101,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.491,0xFF01,102,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.501,0xFF01,103,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.511,0xFF03,104,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.521,0xFF01,105,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.531,0xFF01,106,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.541,0xFF01,107,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.551,0xFF01,108,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.561,0xFF01,109,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.571,0xFF01,110,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.581,0xFF01,111,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.591,0xFF01,112,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.601,0xFF01,113,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.611,0xFF01,114,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.621,0xFF01,115,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.631,0xFF03,116,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.641,0xFF01,117,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.651,0xFF01,118,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.661,0xFF01,119,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.671,0xFF01,120,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.681,0xFF01,121,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.691,0xFF01,122,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.701,0xFF01,123,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.711,0xFF03,124,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.721,0xFF01,125,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:03:29.731,0xFF01,126,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
