Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
17:13:40.326,0xFF01,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.336,0xFF01,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.346,0xFF01,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.356,0xFF01,4,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.365,0xFF01,5,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.375,0xFF01,6,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.385,0xFF03,7,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.395,0xFF03,8,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.405,0xFF03,9,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.415,0xFF03,10,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.425,0xFF03,11,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.435,0xFF03,12,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.445,0xFF03,13,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.455,0xFF01,14,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.465,0xFF01,15,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.475,0xFF01,16,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.485,0xFF01,17,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.495,0xFF01,18,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.505,0xFF03,19,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.515,0xFF03,20,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.525,0xFF03,21,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.535,0xFF03,22,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.545,0xFF03,23,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.555,0xFF03,24,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.565,0xFF01,25,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.575,0xFF01,26,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.585,0xFF01,27,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.595,0xFF01,28,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.606,0xFF01,29,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.615,0xFF01,30,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.625,0xFF03,31,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.635,0xFF03,32,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.645,0xFF03,33,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.655,0xFF03,34,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.665,0xFF03,35,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.675,0xFF03,36,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.685,0xFF03,37,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.695,0xFF01,38,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.705,0xFF01,39,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.715,0xFF01,40,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.725,0xFF01,41,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.735,0xFF01,42,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.745,0xFF03,43,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.755,0xFF03,44,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.765,0xFF03,45,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.775,0xFF03,46,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.785,0xFF03,47,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.795,0xFF03,48,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.805,0xFF03,49,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.815,0xFF01,50,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.825,0xFF01,51,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.835,0xFF01,52,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.844,0xFF01,53,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.854,0xFF01,54,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.864,0xFF03,55,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.874,0xFF03,56,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.884,0xFF03,57,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.894,0xFF03,58,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.904,0xFF03,59,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.914,0xFF03,60,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.924,0xFF03,61,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.934,0xFF01,62,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.944,0xFF01,63,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.954,0xFF01,64,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.964,0xFF01,65,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.974,0xFF01,66,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.984,0xFF03,67,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:40.994,0xFF03,68,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.004,0xFF03,69,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.014,0xFF03,70,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.024,0xFF03,71,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.034,0xFF03,72,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.044,0xFF03,73,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.054,0xFF01,74,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.064,0xFF01,75,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.074,0xFF01,76,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.094,0xFF01,77,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.104,0xFF03,78,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.114,0xFF03,79,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.124,0xFF03,80,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.134,0xFF03,81,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.144,0xFF03,82,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.154,0xFF03,83,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.164,0xFF03,84,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.174,0xFF01,85,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
17:13:41.184,0xFF01,86,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
